"loc1","loc2","Common name"
"51.4040154443","-2.59264606385","Horse Chestnut"
"51.4404855683","-2.5930000463","Lime"
"51.4391890501","-2.58486139559","Lime"
"51.5049053889","-2.64572667578","Lime"
"51.4557035971","-2.61568295334","Foxglove Tree"
"51.4344465217","-2.58889382298",""
"51.4553425343","-2.61716236964","Holly"
"51.4120847194","-2.57321427665",""
"51.4402083383","-2.53173523965","Ash"
"51.416244581","-2.55004167668","Rowan"
"51.4598262374","-2.57449653224",""
"51.476458484","-2.56874180881","Sycamore"
"51.4127216546","-2.60164626093","Pine"
"51.4552045697","-2.61609188489","Gingko"
"51.4642770838","-2.62797892218","Lime"
"51.461754164","-2.62570078484","Oak"
"51.4580376747","-2.62636902714","Beech"
"51.4560647663","-2.62540189391","Hawthorn"
"51.4567102206","-2.62143991267","Lime"
"51.4571594357","-2.62077962627","Oak"
"51.4083325281","-2.62390957558","Willow"
"51.4096441463","-2.62198253184",""
"51.4844498414","-2.6722040221","Cherry"
"51.4564013633","-2.57346071725","Sycamore"
"51.4878882385","-2.5832168602","Lime"
"51.4597971365","-2.56925644484","Cherry"
"51.4212513517","-2.56966385598","Lime"
"51.5099339772","-2.64106427393","Ash"
"51.4773390411","-2.51881028778","Hawthorn"
"51.4817385172","-2.52098243801","Plane"
"51.4909741453","-2.61810635294","Cherry"
"51.4624486992","-2.57961735135","Apple"
"51.5038197974","-2.61126228959",""
"51.4317692055","-2.57872425123","Sycamore"
"51.4789434969","-2.52932887249","Plane"
"51.4323845149","-2.62569980952","Apple"
"51.4751066855","-2.51403821596",""
"51.4676371106","-2.57252363782","Lime"
"51.4914161444","-2.60502893721","Cherry"
"51.4827167379","-2.57267278617","False Acacia"
"51.413107888","-2.55344720627","Sycamore"
"51.4500307292","-2.61758647591","Whitebeam"
"51.4907229076","-2.59956547417","Cherry"
"51.4791520123","-2.57969897331","Cherry"
"51.5053789392","-2.61005314624","Lime"
"51.44992917","-2.61723627751","Whitebeam"
"51.5005352518","-2.59896502186","Apple"
"51.5005812861","-2.59915910507","Cherry"
"51.4422481427","-2.59258548371","Sycamore"
"51.4421849042","-2.59170108997","Laburnum"
"51.4569003336","-2.62060282109","Lime"
"51.4557867779","-2.62340402322","Hawthorn"
"51.4840187102","-2.67476788792","Silver Birch"
"51.4514156068","-2.58553215699","Cotoneaster"
"51.5102177964","-2.62752570817","Cherry"
"51.456004688","-2.62579197266","Ash"
"51.440687455","-2.59080566668","Lime"
"51.4110542951","-2.56329125771","Rowan"
"51.4560127987","-2.62427108476","Hawthorn"
"51.4423789876","-2.5845617349","Tulip Tree"
"51.5112651527","-2.62918340915","Redwood"
"51.4181882131","-2.54362856153","Rowan"
"51.4102657947","-2.56469593678","Elder"
"51.4120968812","-2.57331982447",""
"51.4130671515","-2.55582226293","Hawthorn"
"51.4100561164","-2.55513671204","Sorbus"
"51.4603811475","-2.5472440321","Plane"
"51.4367747657","-2.59804894255","Whitebeam"
"51.4402306914","-2.59868715066","Lime"
"51.4108266542","-2.59578652517","Whitebeam"
"51.4086090295","-2.59396236169","Alder"
"51.4083324044","-2.59443122075","Willow"
"51.4067797934","-2.59537204041","Silver Birch"
"51.4041697003","-2.59430505892","Silver Birch"
"51.4429083178","-2.56487228969","Sycamore"
"51.4394970152","-2.58936595983","Lime"
"51.4851121036","-2.63623550483","False Acacia"
"51.4901373389","-2.65123444731","Oak"
"51.441762802","-2.58822496095","Maple"
"51.4660183103","-2.62063615149","Silver Birch"
"51.4659673954","-2.62395984211","Hawthorn"
"51.4647801334","-2.62677547703","Lime"
"51.5090775625","-2.608558906","Maple"
"51.466351727","-2.62444403274",""
"51.4629714736","-2.62722772934","Holly"
"51.4615625459","-2.58306749757","False Acacia"
"51.483680882","-2.64688716672","Horse Chestnut"
"51.4419174177","-2.59151993947","Ash"
"51.4617261612","-2.626650569","Beech"
"51.4166784286","-2.55009937346","Silver Birch"
